546789641236,Sanjay Guleria,21/03/1974,AAA12569CC,18000,1200,true,false,Punjab National Bank,9999689745,Public
865397248653,Subham Kumar,03/05/1974,MUM52491MO,17500,1200,true,false,Kotak Mahindra Bank,9869689778,Private
568916879154,Himesh Pandey,22/07/1974,BDA98462AA,18000,1200,true,false,HDFC Bank,8698642745,Private
931782461982,Mahesh Babu,12/09/1980,ADA88834CC,19000,1350,true,false,HSBC Bank,5987463586,Private
264819375648,Ashok Kumar,20/10/1970,DNA55682NN,16000,1200,false,true,Axis Bank,2987465186,Private
159862473686,Pankaj Singhal,24/08/1971,ABC56412MM,18000,1100,false,true,Punjab National Bank,8647519624,Public
794612846525,Himanshu Sharma,16/04/1978,DDA45692ZZ,18000,1550,true,false,ICICI Bank,5894739517,Private
699248159786,Vikas Verma,07/04/1974,MNZ88975CC,19000,1800,false,true,State Bank Of India,5556987412,Public
294875361486,Abhishek Thakur,18/03/1972,PSQ45569ZC,16500,1650,true,false,State Bank Of India,3698756412,Public
264859712565,Sankar R. Kumar,19/07/1976,ZAA68429BD,17505,1500,true,false,Punjab National Bank,5689428673,Public
